index,Births
1,35
2,32
3,30
4,31
5,44
6,29
7,45
8,43
9,38
10,27
11,38
12,33
13,55
14,47
15,45
16,37
17,50
18,43
19,41
20,52
21,34
22,53
23,39
24,32
25,37
26,43
27,39
28,35
29,44
30,38
31,24
32,23
33,31
34,44
35,38
36,50
37,38
38,51
39,31
40,31
41,51
42,36
43,45
44,51
45,34
46,52
47,47
48,45
49,46
50,39
51,48
52,37
53,35
54,52
55,42
56,45
57,39
58,37
59,30
60,35
61,28
62,45
63,34
64,36
65,50
66,44
67,39
68,32
69,39
70,45
71,43
72,39
73,31
74,27
75,30
76,42
77,46
78,41
79,36
80,45
81,46
82,43
83,38
84,34
85,35
86,56
87,36
88,32
89,50
90,41
91,39
92,41
93,47
94,34
95,36
96,33
97,35
98,38
99,38
100,34
101,53
102,34
103,34
104,38
105,35
106,32
107,42
108,34
109,46
110,30
111,46
112,45
113,54
114,34
115,37
116,35
117,40
118,42
119,58
120,51
121,32
122,35
123,38
124,33
125,39
126,47
127,38
128,52
129,30
130,34
131,40
132,35
133,42
134,41
135,42
136,38
137,24
138,34
139,43
140,36
141,55
142,41
143,45
144,41
145,37
146,43
147,39
148,33
149,43
150,40
151,38
152,45
153,46
154,34
155,35
156,48
157,51
158,36
159,33
160,46
161,42
162,48
163,34
164,41
165,35
166,40
167,34
168,30
169,36
170,40
171,39
172,45
173,38
174,47
175,33
176,30
177,42
178,43
179,41
180,41
181,59
182,43
183,45
184,38
185,37
186,45
187,42
188,57
189,46
190,51
191,41
192,47
193,26
194,35
195,44
196,41
197,42
198,36
199,45
200,45
201,45
202,47
203,38
204,42
205,35
206,36
207,39
208,45
209,43
210,47
211,36
212,41
213,50
214,39
215,41
216,46
217,64
218,45
219,34
220,38
221,44
222,48
223,46
224,44
225,37
226,39
227,44
228,45
229,33
230,44
231,38
232,46
233,46
234,40
235,39
236,44
237,48
238,50
239,41
240,42
241,51
242,41
243,44
244,38
245,68
246,40
247,42
248,51
249,44
250,45
251,36
252,57
253,44
254,42
255,53
256,42
257,34
258,40
259,56
260,44
261,53
262,55
263,39
264,59
265,55
266,73
267,55
268,44
269,43
270,40
271,47
272,51
273,56
274,49
275,54
276,56
277,47
278,44
279,43
280,42
281,45
282,50
283,48
284,43
285,40
286,59
287,41
288,42
289,51
290,49
291,45
292,43
293,42
294,38
295,47
296,38
297,36
298,42
299,35
300,28
301,44
302,36
303,45
304,46
305,48
306,49
307,43
308,42
309,59
310,45
311,52
312,46
313,42
314,40
315,40
316,45
317,35
318,35
319,40
320,39
321,33
322,42
323,47
324,51
325,44
326,40
327,57
328,49
329,45
330,49
331,51
332,46
333,44
334,52
335,45
336,32
337,46
338,41
339,34
340,33
341,36
342,49
343,43
344,43
345,34
346,39
347,35
348,52
349,47
350,52
351,39
352,40
353,42
354,42
355,53
356,39
357,40
358,38
359,44
360,34
